CPUs: 4
dataFile: data/bts_2016_week1.csv
remainingTeams: [Indiana Illinois Iowa Maryland Michigan Michigan_State Minnesota Nebraska Northwestern OSU Penn_State Purdue Rutgers Wisconsin]
Teams: [Indiana Illinois Iowa Maryland Michigan Michigan_State Minnesota Nebraska Northwestern OSU Penn_State Purdue Rutgers Wisconsin]
nWeeks: 13
weekNumber: 1
doubleDown: true
Probabilities:
map[Wisconsin:[0.1436 0.9646 0.9581 0.4235 0.2181 0 0.4207 0.4291 0.5483 0.5737 0.8498 0.6711 0.8023] Indiana:[0.7819 0.8564 0 0.554 0.3499 0.1056 0.3085 0.3315 0.6368 0.4376 0.3552 0.0808 0.5987] Michigan_State:[0.992 0 0.2912 0.5765 0.6501 0.6889 0.7234 0.699 0.3552 0.721 0.8082 0.4124 0.4207] Purdue:[0.9618 0.5681 0 0.7328 0.4545 0.4801 0.342 0.1675 0.342 0.4068 0.4829 0.3289 0.4013] Illinois:[0.946 0.1822 0.4772 0 0.1295 0.5199 0.3605 0.0548 0.5114 0.279 0.1502 0.2839 0.2625] Maryland:[0.9527 0.7398 0.6501 0 0.5455 0.1747 0.537 0.301 0.3632 0.0623 0.1692 0.1436 0.554] Nebraska:[0.9606 0.9635 0.5821 0.6097 0.8705 0 0.6915 0.8325 0.4517 0.2961 0.8271 0.8564 0.4658] Michigan:[0.995 0.9836 0.8995 0.7923 0.7819 0.8482 0 0.9452 0.6448 0.9377 0.6501 0.9192 0.4744] Penn_State:[0.9505 0.342 0.7902 0.2077 0.7923 0.8253 0 0.4068 0.658 0.5848 0.6448 0.6659 0.5793] Rutgers:[0.0897 0.9599 0.758 0.3341 0.0956 0.1518 0.6395 0.3985 0 0.5624 0.1918 0.3341 0.446] OSU:[0.9587 0.9377 0.2037 0 0.9044 0.8944 0.5793 0.5932 0.8482 0.7039 0.8308 0.5876 0.5256] Iowa:[0.9561 0.8548 0.9916 0.6659 0.7186 0.6501 0.658 0.5709 0 0.4152 0.3499 0.7161 0.5342] Minnesota:[0.6685 0.9635 0 0.8063 0.2077 0.3499 0.463 0.6015 0.4886 0.5932 0.1729 0.4915 0.1977] Northwestern:[0.6422 0.9787 0.5987 0.3903 0.2814 0 0.2766 0.6685 0.1518 0.4263 0.5171 0.5085 0.7375]]
Filtered Probabilities:
map[Northwestern:[0.6422 0.9787 0.5987 0.3903 0.2814 0 0.2766 0.6685 0.1518 0.4263 0.5171 0.5085 0.7375] Rutgers:[0.0897 0.9599 0.758 0.3341 0.0956 0.1518 0.6395 0.3985 0 0.5624 0.1918 0.3341 0.446] Illinois:[0.946 0.1822 0.4772 0 0.1295 0.5199 0.3605 0.0548 0.5114 0.279 0.1502 0.2839 0.2625] Maryland:[0.9527 0.7398 0.6501 0 0.5455 0.1747 0.537 0.301 0.3632 0.0623 0.1692 0.1436 0.554] Michigan_State:[0.992 0 0.2912 0.5765 0.6501 0.6889 0.7234 0.699 0.3552 0.721 0.8082 0.4124 0.4207] Minnesota:[0.6685 0.9635 0 0.8063 0.2077 0.3499 0.463 0.6015 0.4886 0.5932 0.1729 0.4915 0.1977] Purdue:[0.9618 0.5681 0 0.7328 0.4545 0.4801 0.342 0.1675 0.342 0.4068 0.4829 0.3289 0.4013] Indiana:[0.7819 0.8564 0 0.554 0.3499 0.1056 0.3085 0.3315 0.6368 0.4376 0.3552 0.0808 0.5987] Iowa:[0.9561 0.8548 0.9916 0.6659 0.7186 0.6501 0.658 0.5709 0 0.4152 0.3499 0.7161 0.5342] OSU:[0.9587 0.9377 0.2037 0 0.9044 0.8944 0.5793 0.5932 0.8482 0.7039 0.8308 0.5876 0.5256] Penn_State:[0.9505 0.342 0.7902 0.2077 0.7923 0.8253 0 0.4068 0.658 0.5848 0.6448 0.6659 0.5793] Wisconsin:[0.1436 0.9646 0.9581 0.4235 0.2181 0 0.4207 0.4291 0.5483 0.5737 0.8498 0.6711 0.8023] Michigan:[0.995 0.9836 0.8995 0.7923 0.7819 0.8482 0 0.9452 0.6448 0.9377 0.6501 0.9192 0.4744] Nebraska:[0.9606 0.9635 0.5821 0.6097 0.8705 0 0.6915 0.8325 0.4517 0.2961 0.8271 0.8564 0.4658]]
0,0,0.000000,0.002455157313007997,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Nebraska,0.6915,7,Northwestern,0.6685,8,OSU,0.8482,9,Penn_State,0.5848,10,Purdue,0.4829,11,Wisconsin,0.6711,12,Rutgers,0.446,0,Illinois,0.946
0,9,0.000000,0.0029821823965119378,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Nebraska,0.6915,7,Northwestern,0.6685,8,OSU,0.8482,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Penn_State,0.6659,12,Rutgers,0.446,0,Illinois,0.946
0,13,0.000000,0.004214450741672432,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Nebraska,0.6915,7,Northwestern,0.6685,8,OSU,0.8482,9,Rutgers,0.5624,10,Purdue,0.4829,11,Penn_State,0.6659,12,Wisconsin,0.8023,0,Illinois,0.946
0,3632,0.009000,0.004675603611813485,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Rutgers,0.6395,7,Nebraska,0.8325,8,OSU,0.8482,9,Penn_State,0.5848,10,Purdue,0.4829,11,Wisconsin,0.6711,12,Northwestern,0.7375,0,Illinois,0.946
0,3640,0.009000,0.005679270615508779,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Rutgers,0.6395,7,Nebraska,0.8325,8,OSU,0.8482,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Penn_State,0.6659,12,Northwestern,0.7375,0,Illinois,0.946
0,15158,0.026000,0.006455524731326536,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Minnesota,0.463,7,Nebraska,0.8325,8,Penn_State,0.658,9,Rutgers,0.5624,10,Purdue,0.4829,11,Wisconsin,0.6711,12,Northwestern,0.7375,0,Illinois,0.946
0,15277,0.027000,0.007196360416143323,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Minnesota,0.463,7,Northwestern,0.6685,8,Penn_State,0.658,9,Rutgers,0.5624,10,Purdue,0.4829,11,Nebraska,0.8564,12,Wisconsin,0.8023,0,Illinois,0.946
0,18063,0.031000,0.0077370783529527405,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Purdue,0.342,7,Minnesota,0.6015,8,Penn_State,0.658,9,Rutgers,0.5624,10,Wisconsin,0.8498,11,Nebraska,0.8564,12,Northwestern,0.7375,0,Illinois,0.946
0,18780,0.032000,0.00798139756560281,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Rutgers,0.6395,7,Minnesota,0.6015,8,Penn_State,0.658,9,Purdue,0.4068,10,Nebraska,0.8271,11,Wisconsin,0.6711,12,Northwestern,0.7375,0,Illinois,0.946
0,18783,0.032000,0.010464706924432885,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Rutgers,0.6395,7,Minnesota,0.6015,8,Penn_State,0.658,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Nebraska,0.8564,12,Northwestern,0.7375,0,Illinois,0.946
