,1,2,3,4,5,6,7,8,9,10,11,12,13
Indiana,0.9436,0.6206,0.4291,0.5285,0.0000,0.0000,0.0000,0.0000,#N/A,0.0000,0.0000,0.4263,0.5171
Illinois,0.8003,0.9757,0.0000,0.6070,0.5085,0.0000,#N/A,0.0000,0.0000,0.5142,0.0000,0.0000,0.0000
Iowa,0.9684,0.4886,0.6528,0.9618,0.2961,0.6990,0.4573,#N/A,0.9020,0.7777,0.8271,0.9126,0.5313
Maryland,0.9554,0.0000,0.5483,0.0000,0.0000,0.0000,#N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.4886
Michigan,0.0000,0.9203,0.9878,0.5876,0.8764,0.7257,0.0000,#N/A,0.8289,0.9513,0.8564,0.6501,0.0000
Michigan State,0.8612,0.6015,0.9513,0.9735,0.9444,0.8448,0.2672,0.9007,#N/A,0.0000,0.9245,0.2098,0.7923
Minnesota,0.0000,0.7467,0.9491,0.6762,0.0000,0.4829,0.0000,#N/A,0.0000,0.0000,0.0000,0.5596,0.0000
Nebraska,0.0000,0.9769,0.0000,0.9080,0.0000,0.0000,0.5256,0.0000,0.0000,0.3499,0.7536,#N/A,0.0000
Northwestern,0.9652,0.9761,0.3930,0.9007,0.7186,0.0000,0.0000,0.2743,#N/A,0.4943,0.8121,0.1937,0.4829
OSU,0.8431,0.9966,0.9915,0.9765,0.9214,0.9834,0.8720,0.9182,#N/A,0.9618,0.8659,0.0000,0.5624
Penn State,0.0000,0.9313,0.7712,0.9044,0.9568,0.6990,0.0000,0.6940,0.6315,0.0000,#N/A,0.0000,0.0000
Purdue,0.0000,0.9460,0.0000,0.0000,0.0000,0.0000,0.0000,#N/A,0.2578,0.0000,0.0000,0.0000,0.0000
Rutgers,0.9313,0.0000,0.2288,0.8216,#N/A,0.0000,0.3289,0.0000,0.0000,0.0000,0.0000,0.8379,0.0000
Wisconsin,0.0000,0.9708,0.9863,0.9606,0.0000,0.5228,0.9126,0.5904,0.9068,0.8308,#N/A,0.0000,0.6711
