,1,2,3,4,5,6,7,8,9,10,11,12,13
Indiana,0.950747284,0.9091786609,0.4096010167,0.4460235769,0.02645135191,0.1710561263,0.491451891,0.03319996201,#N/A,0.3985342472,0.2223484984,0.3110567656,0.3135848768
Illinois,0.7875233019,0.9756625622,0.3010341261,0.7281219447,0.576464575,0.4800611942,#N/A,0.4743713641,0.3766520236,0.5596176924,0.09680048459,0.4151621288,0.5820508536
Iowa,0.9832662046,0.4886031997,0.5567984968,0.9007286032,0.2555445321,0.5199388058,0.3498541408,#N/A,0.658048466,0.6014657528,0.5199388058,0.6606675626,0.3445782584
Maryland,0.9471533059,0.7776515016,0.7512952744,0.09437503645,0.3135848768,0.01850225581,#N/A,0.4040580334,0.341951534,0.3367210797,0.05971828587,0.6889432344,0.4319433953
Michigan,0.4157191957,0.920307484,0.9850506044,0.7039219855,0.6864151232,0.7088403132,0.3341175709,#N/A,0.5511516123,0.8307524227,0.7776515016,0.5113968003,0.1692475773
Michigan State,0.7975373487,0.6014657528,0.970811565,0.9845027324,0.9411247573,0.8792867233,0.6658824291,0.966800038,#N/A,0.7733726476,0.9402817141,0.2287840875,0.8643339391
Minnesota,0.2193809249,0.7467462687,0.9467672663,0.7860694704,0.4123793739,0.5596176924,0.576464575,#N/A,0.4488483877,0.04194291343,0.4800611942,0.5848378712,0.4743713641
Nebraska,0.6622353129,0.9768614538,0.2718780553,0.9044179009,0.423535425,0.4829077062,0.423535425,0.5903989833,0.5680566047,0.2266273524,0.5820508536,#N/A,0.6554217416
Northwestern,0.2566939784,0.9760678604,0.4291371153,0.8498322722,0.5876206261,0.2911596868,0.6501458592,0.4096010167,#N/A,0.5483242062,0.7209662338,0.3135848768,0.4179491464
OSU,0.6604059994,0.9966067476,0.9922701805,0.9808406184,0.9735486481,0.9814977442,0.9482981116,0.9554345372,#N/A,0.9580570866,0.9031995154,0.7712159125,0.8307524227
Penn State,0.5666521667,0.9313226448,0.762474738,0.8378633314,0.1765556173,0.8289438737,0.05170188838,0.5959419666,0.6233479764,0.4516757938,#N/A,0.4886031997,0.1356660609
Purdue,0.2904252405,0.9459884831,0.2555445321,0.7755178598,0.05887524275,0.4403823076,0.1956829692,#N/A,0.4319433953,0.4403823076,0.2790337662,0.3393324374,0.6864151232
Rutgers,0.9616364296,0.7233616191,0.237525262,0.8464742828,#N/A,0.1207132767,0.508548109,0.6527875016,0.1859668402,0.1692475773,0.4179491464,0.07656372551,0.5680566047
Wisconsin,0.2118553986,0.970811565,0.9787490194,0.9294123743,0.7444554679,0.5170922938,0.8043170308,0.5256286359,0.8140331598,0.6632789203,#N/A,0.6864151232,0.5256286359
