Air Force,-9.4,-4.1,-1.9,0.4,0.6,-1.8,-2.5,-4,-2.9,0.8,0.6,1.2,2.9,1.5
Akron,-12.9,-12.9,-13.5,-13.9,-9.5,-8.7,-6.4,-9.8,-9.6,-9.8,-9.3,-8.9,-7.8,-6.8
Alabama,21.4,23,23.2,24.5,23.7,23.9,23.7,23.2,22.6,22.6,22.9,24.2,24.3,25.1
Appalachian St,0.9,2.1,-0.9,-1.1,3.8,2.9,4.4,7.6,8.4,7.3,5.5,6.1,6.2,6.4
Arizona,11.8,7.4,8.6,11.1,9,6.3,8.7,8.2,7.6,4.5,5.5,6.3,5.8,5.7
Arizona State,13.4,10.4,7.9,7.6,5.8,9.8,10.6,9.2,9,8.5,7.5,8.6,9.2,9.2
Arkansas,19.9,19.4,15.3,12.3,12.7,14.4,14.1,13.8,13.7,13.7,13.3,15.3,15.3,16.1
Arkansas State,0.9,-3.8,-3.8,0.5,-2.5,-2.8,-3.3,-2.4,-2.3,-3,-1.1,0.7,0.5,1.1
Army,-17.1,-18.4,-17.5,-17.1,-13.6,-10.8,-13.4,-15.1,-15.2,-15,-15.1,-16,-16.1,-16.3
Auburn,17.1,16.7,11.8,11.7,10.8,10.4,10.3,10.6,10.7,10.5,12.4,11.8,11.2,11.2
Ball State,-2.2,-5.8,-5.7,-5.9,-4.3,-4.4,-5.4,-8.4,-8.4,-8.1,-10.5,-10.4,-10.7,-11.9
Baylor,25.2,25,22.3,23.6,26.1,27,29.2,28.6,26.7,26.9,25.5,24.8,25.1,23.7
Boise State,11,8.6,7.4,10.1,12.5,15.4,17.3,14.4,12.7,13.6,13.5,10.7,9.2,9.7
Boston College,-1.2,-2.4,3.5,2.2,1.7,2.3,1.5,2,2.5,1.6,0.9,0.8,2,1.9
Bowling Green,-7.1,-7.1,-2.7,-2.2,-1.3,-1.1,0.1,3.4,6.4,6.6,7.6,8.7,7,8.6
Buffalo,-14.4,-10.8,-9.3,-7.7,-7.8,-8.6,-8.5,-11.5,-8.9,-9,-8.8,-8.9,-9.8,-10.4
BYU,3.2,5.9,7.2,9.5,7.1,6.9,7.2,7.4,8.2,8.1,7.6,7.2,8.1,8.9
Cal,11.3,12.2,13.6,13.8,14.3,12.7,14,14.6,13.8,13.9,13,13.5,13.5,13.2
Cent Michigan,-8.6,-7.8,-9.2,-7,-6.1,-4.8,-4.9,-1.6,-1.1,-0.9,-0.7,-0.9,-0.5,-1.5
Charlotte,-15.2,-14.2,-13.9,-18.4,-16.8,-18.3,-18,-17.2,-19.4,-20.1,-19.6,-19.8,-21.1,-21.5
Cincinnati,5.2,4.2,2.5,1.1,1.4,3.3,3.4,2.9,3.4,5.4,5.6,5.3,2.8,3.5
Clemson,15.8,15.5,16,16.4,17.7,18.3,19.6,19,22,22.4,22.4,21.8,21.2,20.9
Colorado,0.5,-1.5,1.9,1.1,0.8,-0.7,-1.9,-1.7,-1.6,-1,-1.7,-0.5,-1.4,-0.9
Colorado State,-5.8,-6.7,-7,-6.8,-6.7,-7,-7.5,-6.3,-6.8,-7.8,-6.9,-6,-5,-6
Duke,0.1,5.2,8.2,6.2,8.3,7.8,9.7,8.8,9.8,9,7.1,5.9,5.5,5.6
E Michigan,-18.6,-18.9,-15.2,-16.1,-18.1,-15.4,-17.7,-19.1,-19.7,-20.1,-20.7,-21.2,-21.2,-20.3
ECU,-3.2,-6.6,-3.4,-5.9,-2.9,0.3,0.9,1.2,0.4,-1,-1.6,-1.5,0.5,0.2
FAU,-10.1,-9.1,-9.3,-10.6,-10,-10.2,-10.5,-11.2,-13.3,-11.6,-10.9,-11.3,-9.4,-9.5
FIU,-6.8,-4.6,-5.8,-6.8,-5.7,-6.8,-5.3,-5.6,-4.8,-6.4,-6,-8.6,-10.6,-10.6
Florida,14.1,17.1,13.5,13.5,14.4,18.2,19.2,19,18.5,19.5,18,18,16.3,14.9
Fresno State,-9.8,-9.6,-11.3,-11.5,-13.3,-14.9,-17.7,-16.5,-17.8,-17.2,-18.1,-15.8,-16.7,-16.2
FSU,16,19.5,18.1,17.7,17.2,16.2,16.3,17.8,16.8,16.9,16.5,17.1,18.1,19.8
Ga Southern,-1.7,-6.1,-2.9,-0.4,1,2.5,2.4,3.4,2.2,2.5,2.4,4.2,5.1,6.1
Georgia,24.4,24.3,24,24.9,23.7,19.6,19.2,17.4,17.3,15,15.5,16.1,15.2,15.7
Georgia State,-15.6,-17.7,-16.3,-16.3,-17.1,-18,-20.2,-17.2,-17.7,-17.3,-16.9,-14.5,-13.8,-13.1
Georgia Tech,12.1,15.5,18.7,19.2,16.7,15.3,14.2,13,13.7,12.6,12.4,12.3,10.9,10.5
Hawaii,-9,-8.1,-7.3,-8.5,-8.8,-12.6,-13.4,-13.1,-12.8,-15.3,-16.2,-17.9,-18.5,-18.1
Houston,-3.5,-3.3,-0.8,-0.6,4.1,5.1,5.1,7,9.7,11,10.5,10,8.4,9.3
Idaho,-17.5,-19,-18.6,-19,-19.9,-18.9,-19.3,-18.7,-17.1,-17.4,-17.5,-17.8,-17.1,-16.3
