CPUs: 4
dataFile: data/bts_2016_week1.csv
remainingTeams: [Indiana Illinois Iowa Maryland Michigan Michigan_State Minnesota Nebraska Northwestern OSU Penn_State Purdue Rutgers Wisconsin]
Teams: [Indiana Illinois Iowa Maryland Michigan Michigan_State Minnesota Nebraska Northwestern OSU Penn_State Purdue Rutgers Wisconsin]
nWeeks: 13
weekNumber: 1
doubleDown: true
Probabilities:
map[Rutgers:[0.12 0.9371 0.7299 0.3538 0.1264 0.1841 0.6227 0.411 0 0.5793 0.2229 0.3538 0.4527] Wisconsin:[0.1587 0.934 0.9247 0.4037 0.2247 0 0.4013 0.4086 0.5125 0.5349 0.7971 0.6227 0.7482] Illinois:[0.9202 0.2137 0.4801 0 0.1617 0.5174 0.3773 0.0808 0.51 0.3042 0.2029 0.3085 0.289] Michigan:[0.9878 0.9692 0.8684 0.7619 0.7753 0.8159 0 0.9192 0.6274 0.9105 0.6321 0.901 0.4776] Purdue:[0.9394 0.5596 0 0.7067 0.4602 0.4826 0.3608 0.1994 0.3608 0.4183 0.485 0.3773 0.4379] Indiana:[0.732 0.8075 0 0.5224 0.3446 0.1238 0.3085 0.3286 0.5963 0.4207 0.3492 0.099 0.5621] Iowa:[0.9324 0.8257 0.9819 0.6462 0.6937 0.6321 0.6392 0.5914 0 0.4256 0.3679 0.6915 0.5299] Nebraska:[0.9387 0.9416 0.5719 0.5963 0.8383 0 0.6915 0.8006 0.4875 0.3196 0.7953 0.8241 0.4701] OSU:[0.9356 0.9105 0.2342 0 0.8736 0.8762 0.5987 0.5817 0.8159 0.6804 0.7988 0.5768 0.5224] Maryland:[0.9282 0.7131 0.6321 0 0.5398 0.2065 0.5324 0.3241 0.4037 0.0895 0.2012 0.1759 0.5473] Michigan_State:[0.9824 0 0.3377 0.5963 0.6554 0.6669 0.698 0.6759 0.3726 0.6958 0.7771 0.4232 0.4305] Minnesota:[0.6485 0.9416 0 0.7753 0.2381 0.3679 0.4676 0.589 0.49 0.5817 0.2047 0.4925 0.2518] Northwestern:[0.625 0.9621 0.589 0.4037 0.3063 0 0.302 0.6714 0.1841 0.4651 0.515 0.5075 0.711] Penn_State:[0.9256 0.3608 0.76 0.2381 0.7619 0.7935 0 0.4183 0.6392 0.5744 0.6508 0.6462 0.5695]]
Filtered Probabilities:
map[Purdue:[0.9394 0.5596 0 0.7067 0.4602 0.4826 0.3608 0.1994 0.3608 0.4183 0.485 0.3773 0.4379] Rutgers:[0.12 0.9371 0.7299 0.3538 0.1264 0.1841 0.6227 0.411 0 0.5793 0.2229 0.3538 0.4527] Indiana:[0.732 0.8075 0 0.5224 0.3446 0.1238 0.3085 0.3286 0.5963 0.4207 0.3492 0.099 0.5621] Illinois:[0.9202 0.2137 0.4801 0 0.1617 0.5174 0.3773 0.0808 0.51 0.3042 0.2029 0.3085 0.289] Michigan_State:[0.9824 0 0.3377 0.5963 0.6554 0.6669 0.698 0.6759 0.3726 0.6958 0.7771 0.4232 0.4305] Nebraska:[0.9387 0.9416 0.5719 0.5963 0.8383 0 0.6915 0.8006 0.4875 0.3196 0.7953 0.8241 0.4701] Penn_State:[0.9256 0.3608 0.76 0.2381 0.7619 0.7935 0 0.4183 0.6392 0.5744 0.6508 0.6462 0.5695] Maryland:[0.9282 0.7131 0.6321 0 0.5398 0.2065 0.5324 0.3241 0.4037 0.0895 0.2012 0.1759 0.5473] Minnesota:[0.6485 0.9416 0 0.7753 0.2381 0.3679 0.4676 0.589 0.49 0.5817 0.2047 0.4925 0.2518] Northwestern:[0.625 0.9621 0.589 0.4037 0.3063 0 0.302 0.6714 0.1841 0.4651 0.515 0.5075 0.711] OSU:[0.9356 0.9105 0.2342 0 0.8736 0.8762 0.5987 0.5817 0.8159 0.6804 0.7988 0.5768 0.5224] Iowa:[0.9324 0.8257 0.9819 0.6462 0.6937 0.6321 0.6392 0.5914 0 0.4256 0.3679 0.6915 0.5299] Michigan:[0.9878 0.9692 0.8684 0.7619 0.7753 0.8159 0 0.9192 0.6274 0.9105 0.6321 0.901 0.4776] Wisconsin:[0.1587 0.934 0.9247 0.4037 0.2247 0 0.4013 0.4086 0.5125 0.5349 0.7971 0.6227 0.7482]]
0,9,0.000059,0.002386295156421439,0,Indiana,0.732,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Nebraska,0.6915,7,Northwestern,0.6714,8,OSU,0.8159,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Penn_State,0.6462,12,Rutgers,0.4527,0,Illinois,0.9202
0,11,0.000264,0.002603764009501987,0,Indiana,0.732,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Nebraska,0.6915,7,Northwestern,0.6714,8,OSU,0.8159,9,Rutgers,0.5793,10,Penn_State,0.6508,11,Purdue,0.3773,12,Wisconsin,0.7482,0,Illinois,0.9202
0,13,0.000334,0.0033233490886137615,0,Indiana,0.732,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Nebraska,0.6915,7,Northwestern,0.6714,8,OSU,0.8159,9,Rutgers,0.5793,10,Purdue,0.485,11,Penn_State,0.6462,12,Wisconsin,0.7482,0,Illinois,0.9202
0,9,0.000044,0.004596807940721806,0,Illinois,0.9202,1,Indiana,0.8075,2,Iowa,0.9819,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Nebraska,0.6915,7,Northwestern,0.6714,8,OSU,0.8159,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Penn_State,0.6462,12,Rutgers,0.4527,0,Maryland,0.9282
0,11,0.000293,0.005015726173870905,0,Illinois,0.9202,1,Indiana,0.8075,2,Iowa,0.9819,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Nebraska,0.6915,7,Northwestern,0.6714,8,OSU,0.8159,9,Rutgers,0.5793,10,Penn_State,0.6508,11,Purdue,0.3773,12,Wisconsin,0.7482,0,Maryland,0.9282
0,13,0.000363,0.006401889321704807,0,Illinois,0.9202,1,Indiana,0.8075,2,Iowa,0.9819,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Nebraska,0.6915,7,Northwestern,0.6714,8,OSU,0.8159,9,Rutgers,0.5793,10,Purdue,0.485,11,Penn_State,0.6462,12,Wisconsin,0.7482,0,Maryland,0.9282
0,3640,0.006684,0.0077524039691520795,0,Illinois,0.9202,1,Indiana,0.8075,2,Iowa,0.9819,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Rutgers,0.6227,7,Nebraska,0.8006,8,OSU,0.8159,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Penn_State,0.6462,12,Northwestern,0.711,0,Maryland,0.9282
0,3640,0.007300,0.004024428316512414,0,Indiana,0.732,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Rutgers,0.6227,7,Nebraska,0.8006,8,OSU,0.8159,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Penn_State,0.6462,12,Northwestern,0.711,0,Illinois,0.9202
0,9,0.000012,0.0026324225940031593,0,Illinois,0.9202,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Nebraska,0.6915,7,Northwestern,0.6714,8,OSU,0.8159,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Penn_State,0.6462,12,Rutgers,0.4527,1,Indiana,0.8075
0,11,0.000104,0.0028723216361651025,0,Illinois,0.9202,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Nebraska,0.6915,7,Northwestern,0.6714,8,OSU,0.8159,9,Rutgers,0.5793,10,Penn_State,0.6508,11,Purdue,0.3773,12,Wisconsin,0.7482,1,Indiana,0.8075
