time,combination,permutation,Indiana,Illinois,Iowa,Maryland,Michigan,Michigan State,Minnesota,Nebraska,Northwestern,OSU,Penn State,Purdue,Rutgers,Wisconsin,probability
1442811857.75398,1,25,1,2,4,1,5,6,3,7,8,10,9,11,12,13,.00036380381789058447
1442811857.83798,1,26,1,2,4,1,5,6,3,7,8,10,9,11,13,12,.0054957130923867226
1442811857.838054,1,28,1,2,4,1,5,6,3,7,8,10,9,13,11,12,.008423362858593464
1442811857.838097,1,32,1,2,4,1,5,6,3,7,8,11,9,10,13,12,.011705134995281696
1442811857.838155,1,109,1,2,4,1,5,6,3,7,8,11,12,10,13,9,.012873147614300251
1442811857.838199,1,148,1,2,4,1,5,6,3,7,10,8,9,13,11,12,.01349719800055027
1442811857.838235,1,152,1,2,4,1,5,6,3,7,11,8,9,10,13,12,.02856418304145336
1442811857.838287,1,229,1,2,4,1,5,6,3,7,11,8,12,10,13,9,.03141450136899948
1442811857.868833,1,349,1,2,4,1,5,6,3,7,11,12,8,10,13,9,.03188192471861839
1442811857.868961,1,536,1,2,4,1,5,6,3,7,11,10,9,13,8,12,.04102855548262596
1442811857.869019,1,583,1,2,4,1,5,6,3,7,11,10,12,13,8,9,.0451226532459259
1442811857.869371,1,1939,1,2,4,1,5,6,3,9,11,7,12,13,8,10,.04557913541793823
1442811857.8701,1,4927,1,2,4,1,5,6,3,9,11,10,12,13,8,7,.053199417889118195
1442811857.881536,1,56737,1,2,4,1,10,5,3,7,11,6,12,13,8,9,.057604480534791946
1442811857.882433,1,60385,1,2,4,1,10,5,3,9,11,6,12,13,8,7,.0679154321551323
1442811857.883099,1,63146,1,2,4,1,10,5,3,9,11,7,6,13,8,12,.07377292960882187
1442811857.883653,1,65425,1,2,4,1,10,5,3,9,11,12,6,13,8,7,.07838648557662964
1442811858.14644,1,912177,1,2,12,1,10,4,3,9,11,5,6,13,8,7,.0859704464673996
1442811858.235375,1,1192185,1,2,12,1,10,5,3,4,11,7,6,13,8,9,.0994628369808197
1442811858.795779,1,2973039,1,2,12,1,5,8,3,9,11,10,6,13,4,7,.11588748544454575
1442811858.803392,1,3008697,1,2,12,1,10,5,3,9,11,6,8,13,4,7,.12094911187887192
1442811858.804504,1,3013737,1,2,12,1,10,5,3,9,11,8,6,13,4,7,.13755011558532715
